"","Species","unitID","DBH_Class","scorchHt","Density","DBH","Height","CR"
"241","psme",6,2.5,0,32,3.2,22,4
"242","psme",6,7.5,0,41,6.7,47,4
"243","psme",6,12.5,0,27,12.6,65,4
"244","psme",6,17.5,0,4,18.9,65,6
"246","psme",6,27.5,0,1,27.3,78,7
