"","Species","unitID","DBH_Class","scorchHt","Density","DBH","Height","CR"
"25","abgr",12,2.5,13,2,1.3,8,8
"137","pico",12,2.5,13,34,0.7,7,7
"140","pico",12,17.5,13,1,18.7,90,6
"193","pipo",12,2.5,13,12,1.5,9,4
"194","pipo",12,7.5,13,3,7.1,37,6
"195","pipo",12,12.5,13,3,12.7,60,6
"196","pipo",12,17.5,13,6,17.3,75,6
"197","pipo",12,22.5,13,5,22.5,95,6
"198","pipo",12,27.5,13,3,27.1,105,6
"249","psme",12,2.5,13,10,1,7,8
"250","psme",12,7.5,13,1,5.4,24,9
