"","Species","unitID","DBH_Class","scorchHt","Density","DBH","Height","CR"
"170","pipo",4,7.5,0,3,7.3,51,5
"171","pipo",4,12.5,0,2,13.8,78,5
"172","pipo",4,17.5,0,4,17.9,87,5
"173","pipo",4,22.5,0,2,21.8,98,5
"174","pipo",4,27.5,0,1,25.8,104,6
"226","psme",4,7.5,0,1,8.4,52,6
