Fall,,,,,,,,
,cat,pre,v2_mean,v2_min,v2_max,v4_mean,v4_min,v4_max
1,duff,13.8,-24.2,-41,-17,-49.2,-62,-44
2,herb,0.1,61.8,20,150,59.5,18,150
3,hr_1,0.2,17.2,0,37,17.2,0,37
4,hr_10,1.1,33,-3,100,34,-4,109
5,hr_100,1.7,20.5,-7,45,14,-16,40
6,hr_1000R,2.1,-74.5,-80,-65,-11.5,-36,35
7,hr_1000S,3.4,-58.8,-66,-56,-29.5,-45,-17
8,litter,2.7,-11.2,-18,0,33,20,69
9,shrub,0.2,208.2,-29,800,191.5,-29,733
10,Total,25.3,-25.5,-36,-18,-26,-45,-16
