"","Species","unitID","DBH_Class","scorchHt","Density","DBH","Height","CR"
"153","pico",14,2.5,24,7,0.8,7,9
"209","pipo",14,2.5,24,37,1.4,9,8
"210","pipo",14,7.5,24,10,6.8,38,6
"211","pipo",14,12.5,24,5,13.5,59,6
"212","pipo",14,17.5,24,15,17.1,71,7
"213","pipo",14,22.5,24,5,21.8,80,7
"214","pipo",14,27.5,24,2,27.2,91,7
"266","psme",14,7.5,24,1,6.4,36,7
"268","psme",14,17.5,24,1,16.8,76,7
"269","psme",14,22.5,24,1,22.8,88,8
