projectName,unitName,epShort,samplingStartDate,plot,transectNo,tally_1hr,tally_10hr,tally_100hr
Washington DNR Pilot Project,Angel,POST,08-Oct-16,7,2,0,3,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,7,3,1,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,8,1,0,2,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,8,2,4,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,8,3,0,3,2
Washington DNR Pilot Project,Angel,POST,08-Oct-16,9,1,19,3,3
Washington DNR Pilot Project,Angel,POST,08-Oct-16,9,2,0,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,9,3,1,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,10,1,1,1,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,10,2,1,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,10,3,12,1,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,11,1,3,1,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,11,2,6,1,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,11,3,6,2,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,12,1,0,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,12,2,36,6,2
Washington DNR Pilot Project,Angel,POST,08-Oct-16,12,3,0,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,13,1,3,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,13,2,1,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,13,3,0,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,14,1,7,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,14,2,1,1,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,14,3,1,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,15,1,49,12,6
Washington DNR Pilot Project,Angel,POST,08-Oct-16,15,2,0,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,15,3,3,1,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,16,1,0,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,16,2,0,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,16,3,0,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,17,1,0,1,4
Washington DNR Pilot Project,Angel,POST,08-Oct-16,17,2,8,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,17,3,102,2,3
Washington DNR Pilot Project,Angel,POST,08-Oct-16,18,1,1,1,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,18,2,3,1,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,18,3,2,5,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,19,1,0,3,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,19,2,0,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,19,3,0,1,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,20,1,0,0,0
Washington DNR Pilot Project,Angel,POST,08-Oct-16,20,2,0,0,1
Washington DNR Pilot Project,Angel,POST,08-Oct-16,20,3,3,0,0
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,1,1,36,18,3
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,1,2,127,24,10
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,1,3,33,17,18
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,2,1,42,32,12
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,2,2,105,31,13
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,2,3,150,30,22
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,3,1,3,2,17
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,3,2,0,0,6
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,3,3,9,6,7
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,4,1,0,7,12
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,4,2,30,26,15
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,4,3,11,4,50
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,5,1,126,45,36
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,5,2,14,5,4
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,5,3,24,14,18
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,6,1,41,15,10
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,6,2,1,5,11
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,6,3,0,4,7
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,7,1,62,10,23
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,7,2,25,12,22
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,7,3,7,3,15
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,8,1,10,8,17
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,8,2,115,33,40
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,8,3,26,3,25
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,9,1,37,11,24
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,9,2,133,18,26
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,9,3,6,5,16
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,10,1,65,45,34
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,11,1,11,1,5
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,11,2,5,0,12
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,11,3,15,3,26
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,12,1,60,79,34
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,12,2,30,20,21
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,12,3,55,7,12
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,13,1,14,5,8
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,13,2,12,2,2
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,13,3,91,17,16
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,14,1,16,11,16
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,14,2,5,1,8
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,14,3,7,15,18
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,15,1,44,23,7
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,15,2,9,12,7
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,15,3,0,1,7
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,16,1,0,0,0
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,16,2,2,4,9
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,16,3,2,3,4
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,17,1,2,5,3
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,17,2,26,15,4
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,17,3,121,27,16
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,18,1,2,5,11
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,18,2,0,3,7
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,18,3,4,5,16
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,19,1,8,2,2
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,19,2,26,26,32
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,19,3,6,6,8
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,20,1,3,1,17
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,20,2,44,16,10
Washington DNR Pilot Project,Canteen,PRE,07-Aug-16,20,3,59,24,24
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,1,1,3,46
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,2,5,26,18
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,3,23,14,18
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,1,15,20,6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,2,7,11,2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,3,6,21,23
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,1,0,0,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,2,2,6,24
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,3,3,5,3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,4,1,12,15,7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,4,2,1,0,2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,4,3,0,4,6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,1,0,0,9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,2,0,0,13
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,3,1,5,21
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,1,0,13,48
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,2,2,3,5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,3,1,7,6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,1,2,1,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,2,9,5,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,3,5,9,7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,1,4,12,11
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,2,31,11,4
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,8,3,0,2,2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,2,3,1,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,3,1,0,3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,1,2,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,2,0,0,10
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,3,0,0,2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,11,1,0,2,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,11,2,0,2,3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,11,3,0,3,10
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,12,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,12,2,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,12,3,0,3,3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,1,20,62,92
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,2,7,2,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,3,0,3,4
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,1,1,0,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,2,9,5,1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,3,27,12,14
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,1,106,15,17
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,2,25,36,66
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,3,48,14,7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,1,1,0,0,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,1,2,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,1,3,0,0,5
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,2,1,1,2,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,2,2,2,1,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,2,3,1,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,3,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,3,2,0,2,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,3,3,1,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,4,1,12,13,5
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,4,2,0,0,2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,4,3,0,0,2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,5,1,0,0,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,5,2,0,0,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,5,3,0,2,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,6,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,6,2,0,1,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,6,3,0,0,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,7,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,7,2,0,2,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,7,3,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,8,1,1,0,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,8,2,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,8,3,0,0,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,9,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,9,2,2,1,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,9,3,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,10,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,10,2,0,1,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,10,3,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,11,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,11,2,0,2,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,11,3,0,0,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,12,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,12,2,0,1,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,12,3,0,2,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,13,1,0,0,2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,13,2,2,1,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,13,3,0,0,1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,2,15,3,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,3,0,0,2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,15,1,0,0,0
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,15,2,0,0,2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,15,3,0,1,0
Washington DNR Pilot Project,Goat,PRE,09-Sep-16,1,1,2,3,5
Washington DNR Pilot Project,Goat,PRE,09-Sep-16,1,2,15,7,2
Washington DNR Pilot Project,Goat,PRE,09-Sep-16,1,3,28,2,9
Washington DNR Pilot Project,Goat,PRE,09-Sep-16,2,1,3,1,5
