projectName,unitName,epShort,samplingStartDate,plot,transectNo,transectLength_ft,burned_ft,green_ft,mineralsoil_ft
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,1,66,64,0,2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,2,66,49,14,3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,3,66,57,2,7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,1,66,62,0,4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,2,66,42.5,2,21.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,3,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,2,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,3,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,1,66,64,2,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,2,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,3,66,25,40,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,1,66,2,27.5,36.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,2,66,8,58,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,3,66,22,3,41
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,1,66,40.5,22.5,3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,2,66,9.5,44,12.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,3,66,56.5,0,9.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,2,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,3,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,1,66,62,1.5,2.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,2,66,27.5,38.5,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,3,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,1,66,66,0,0
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,2,66,36,28.5,1.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,3,66,63,0,3
