Fuelbeds,Filename,Consume_model,Scenario,Total Consumption,Shrub Consumption,Herb Consumption,Wood Consumption,LLM Consumption,Ground Consumption,C_wood_1hr,C_wood_10hr,C_wood_100hr,C_wood_S1000hr,C_wood_R1000hr,C_wood_S10khr,C_wood_R10khr,C_wood_S+10khr,C_wood_R+10khr,Consumption_1000h Sound,Consumption_1000h Rotten
Vulcan,FB_0052_Vulcan.xml,4.2,Spring 2017_average,6.30,0.24,0.05,5.26,0.76,0.00,0.34,1.39,2.30,0.17,0.63,0.04,0.26,0.00,0.13,0.21,1.01
Hanlon,FB_0052_Hanlon.xml,4.2,Spring 2017_average,3.78,0.21,0.01,2.75,0.81,0.00,0.42,1.10,0.89,0.06,0.06,0.00,0.08,0.00,0.14,0.06,0.28
25Mile,FB_0052_25Mile_2017.xml,4.2,Actual_Spring,6.11,0.08,0.15,3.21,2.68,0.00,0.07,0.67,1.03,,,,,,,0.71,0.73
ShermanCreek,FB_0052_ShermanCreek_2017.xml,4.2,Actual_Spring,3.42,0.05,0.25,2.41,0.71,0.00,0.03,0.78,1.45,,,,,,,0.08,0.07
Angel,FB_0052_Angel.xml,4.2,Actual_Fall,13.34,0.09,0.06,6.99,2.47,3.73,0.38,0.94,1.15,,,,,,,1.44,3.08
Chumstick,FB_0052_Chumstick.xml,4.2,Actual_Fall,11.79,0.03,0.03,5.22,4.24,2.27,0.12,1.11,2.13,,,,,,,1.77,0.09
Orion,FB_0052_Orion.xml,4.2,Actual_Fall,7.87,0.05,0.13,2.21,2.53,2.95,0.01,0.46,0.66,,,,,,,0.43,0.65
Paradise90,FB_0052_Paradise90.xml,4.2,Actual_Fall,15.56,0.25,0.05,6.47,1.57,7.21,0.26,1.29,1.29,,,,,,,2.36,1.28
25Mile,FB_0052_25Mile_2017.xml,2.1,Actual_Spring,6.57,0.08,0.16,2.59,2.43,1.31,0.07,0.66,0.85,,,,,,,0.72,0.29
ShermanCreek,FB_0052_ShermanCreek_2017.xml,2.1,Actual_Spring,4.21,0.06,0.27,1.91,0.68,1.29,0.03,0.78,0.99,,,,,,,0.09,0.02
Angel,FB_0052_Angel.xml,2.1,Actual_Fall,11.64,0.09,0.06,4.31,1.68,5.51,0.38,0.95,1.24,,,,,,,0.72,1.02
Chumstick,FB_0052_Chumstick.xml,2.1,Actual_Fall,10.31,0.03,0.03,4.64,3.15,2.46,0.12,1.13,2.36,,,,,,,1.01,0.02
Orion,FB_0052_Orion.xml,2.1,Actual_Fall,7.78,0.05,0.14,1.53,1.72,4.36,0.01,0.44,0.68,,,,,,,0.23,0.17
Paradise90,FB_0052_Paradise90.xml,2.1,Actual_Fall,22.22,0.27,0.05,5.32,0.93,15.66,0.26,1.32,1.34,,,,,,,1.88,0.52
25Mile,FB_0052_25Mile_2017.xml,2.1,Fall 2016_average,9.69,0.08,0.16,3.82,2.76,2.87,0.07,0.66,1.05,,,,,,,1.45,0.59
Angel,FB_0052_Angel.xml,2.1,Fall 2016_average,11.02,0.09,0.06,4.10,1.62,5.15,0.38,0.95,1.19,,,,,,,0.66,0.92
Chumstick,FB_0052_Chumstick.xml,2.1,Fall 2016_average,9.28,0.03,0.03,4.39,2.99,1.84,0.12,1.13,2.27,,,,,,,0.85,0.02
Orion,FB_0052_Orion.xml,2.1,Fall 2016_average,7.45,0.05,0.14,1.47,1.67,4.12,0.01,0.44,0.65,,,,,,,0.21,0.16
Paradise90,FB_0052_Paradise90.xml,2.1,Fall 2016_average,22.16,0.27,0.05,5.34,0.93,15.57,0.26,1.32,1.34,,,,,,,1.89,0.53
