projectName,unitName,plotNo,cardinalDirection,SMDepth_mm,SMMaterial,duffDepth_mm,DuffMaterial,ParentMaterial,,
,Canteen,18,E,6,GR,22,GR,Mineral soil,,
,Canteen,17,W,16,GR,13,LP,Mineral soil,,
,Canteen,4,W,30,GR,0,ND,Mineral soil,,
,Canteen,1,S,62,GR,89,SF,Mineral soil,,
,Canteen,3,W,9,GR,27,SF,Mineral soil,,
,Canteen,5,S,28,GR,61,SF,Mineral soil,,
,Canteen,9,W,12,GR,94,SF,Mineral soil,,
,Canteen,10,W,34,GR,48,SF,Mineral soil,,
,Canteen,13,W,34,GR,48,SF,Mineral soil,,
,Canteen,20,W,25,GR,106,SF,Mineral soil,,
,Canteen,5,W,12,GR,67,WR,Mineral soil,,
,Canteen,19,S,18,GR,44,WR,Mineral soil,,
,Canteen,2,N,21,LP,2,GR,Mineral soil,,
,Canteen,2,W,14,LP,25,GR,Mineral soil,,
,Canteen,3,S,30,LP,182,LP,Mineral soil,,
,Canteen,4,S,22,LP,81,LP,Mineral soil,,
,Canteen,4,N,25,LP,32,LP,Mineral soil,,
,Canteen,6,S,7,LP,54,LP,Mineral soil,,
,Canteen,14,E,18,LP,23,LP,Mineral soil,,
,Canteen,14,S,22,LP,12,LP,Mineral soil,,
,Canteen,14,W,9,LP,11,LP,Mineral soil,,
,Canteen,14,N,21,LP,4,LP,Mineral soil,,
,Canteen,15,N,6,LP,3,LP,Mineral soil,,
,Canteen,15,E,8,LP,2,LP,Mineral soil,,
,Canteen,15,S,22,LP,11,LP,Mineral soil,,
,Canteen,18,N,24,LP,41,LP,Mineral soil,,
,Canteen,20,N,21,LP,43,LP,Mineral soil,,
,Canteen,20,E,8,LP,149,LP,Mineral soil,,
,Canteen,3,N,5,LP,0,ND,Mineral soil,,
,Canteen,6,N,1,LP,0,ND,Mineral soil,,
,Canteen,15,W,6,LP,0,ND,Mineral soil,,
,Canteen,3,E,14,LP,45,SF,Mineral soil,,
,Canteen,4,E,15,LP,59,SF,Mineral soil,,
,Canteen,7,S,11,LP,35,SF,Mineral soil,,
,Canteen,11,N,10,LP,1,SF,Mineral soil,,
,Canteen,12,N,21,LP,49,SF,Mineral soil,,
,Canteen,13,N,15,LP,12,SF,Mineral soil,,
,Canteen,17,N,12,LP,9,SF,Mineral soil,,
,Canteen,17,E,8,LP,2,SF,Mineral soil,,
,Canteen,20,S,25,LP,44,SF,Mineral soil,,
,Canteen,16,S,5,LP,20,WR,Mineral soil,,
,Canteen,6,E,0,NS,12,GR,Mineral soil,,
,Canteen,5,N,0,NS,0,ND,Mineral soil,,
,Canteen,1,E,0,NS,46,SF,Mineral soil,,
,Canteen,1,W,0,NS,2,SF,Mineral soil,,
,Canteen,9,E,0,NS,72,SF,Mineral soil,,
,Canteen,16,E,0,NS,24,SF,Mineral soil,,
,Canteen,16,N,0,NS,1,SF,Mineral soil,,
,Canteen,10,E,0,NS,71,WR,Mineral soil,,
,Canteen,16,W,0,NS,27,WR,Mineral soil,,
,Canteen,7,N,1,SF,0,ND,Mineral soil,,
,Canteen,7,W,4,SF,0,ND,Mineral soil,,
,Canteen,13,S,2,SF,0,ND,Mineral soil,,
,Canteen,1,N,22,SF,66,SF,Mineral soil,,
,Canteen,5,E,9,SF,46,SF,Mineral soil,,
,Canteen,8,W,24,SF,63,SF,Mineral soil,,
,Canteen,8,E,8,SF,57,SF,Mineral soil,,
,Canteen,8,N,14,SF,25,SF,Mineral soil,,
,Canteen,9,S,9,SF,69,SF,Mineral soil,,
,Canteen,9,N,25,SF,29,SF,Mineral soil,,
,Canteen,10,N,9,SF,65,SF,Mineral soil,,
,Canteen,11,S,14,SF,4,SF,Mineral soil,,
,Canteen,11,W,20,SF,36,SF,Mineral soil,,
,Canteen,12,E,10,SF,54,SF,Mineral soil,,
,Canteen,12,S,11,SF,54,SF,Mineral soil,,
,Canteen,12,W,9,SF,95,SF,Mineral soil,,
,Canteen,13,E,9,SF,14,SF,Mineral soil,,
,Canteen,17,S,6,SF,18,SF,Mineral soil,,
,Canteen,18,S,8,SF,36,SF,Mineral soil,,
,Canteen,19,E,6,SF,16,SF,Mineral soil,,
,Canteen,19,W,8,SF,82,SF,Mineral soil,,
,Canteen,19,N,8,SF,1,SF,Mineral soil,,
,Canteen,2,E,12,SF,31,WR,Mineral soil,,
,Canteen,6,W,3,SF,112,WR,Mineral soil,,
,Canteen,7,E,10,SF,61,WR,Mineral soil,,
,Canteen,8,S,18,SF,92,WR,Mineral soil,,
,Canteen,11,E,6,SF,56,WR,Mineral soil,,
